title,author,source,publishedAt,description,url,content,china_score,topic
Rescue efforts underway after landslide buries residents in southwest China,,CBC News,2026-07-17T11:14:15Z,"​An unknown number of people were buried after a landslide struck a county in the southwestern Chinese city of Chongqing on Friday, causing residential ‌buildings downhill to collapse, according to state media.",https://www.cbc.ca/news/world/chongqing-china-landslide-9.7273678,"An unknown number of people were buried after a landslide struck a county in the southwestern Chinese city of Chongqing on Friday, causing residential buildings downhill to collapse, according to sta… [+1293 chars]",3,Other
"Trump Unveils Election Claims, Taco Bell Focus of Parasite Probe",New York Post Video,New York Post,2026-07-17T11:07:26Z,"President Trump addressed the nation, unveiling newly declassified documents he says expose major vulnerabilities in America’s election system, including allegations involving China and non-citizen voter registrations. Also, health officials are investigating…",https://nypost.com/video/trump-unveils-election-claims-taco-bell-focus-of-parasite-probe/,"President Trump addressed the nation, unveiling newly declassified documents he says expose major vulnerabilities in Americas election system, including allegations involving China and non-citizen vo… [+354 chars]",1,Tech
China slams Trump claims of US election meddling as ‘fabrications’,Henry Oduah,Vanguard,2026-07-17T11:07:04Z,"Beijing accused US President Donald Trump of making ""fabrications"" on Friday, after he said China had meddled in US election data, reviving his long-standing baseless claims of voter fraud ahead of midterm polls many expect him to dispute.
The post China slam…",https://www.vanguardngr.com/2026/07/china-slams-trump-claims-of-us-election-meddling-as-fabrications/,"WASHINGTON, DC – JUNE 22: U.S. President Donald Trump delivers remarks before signing an executive order in the Oval Office of the White House on June 22, 2026 in Washington, DC. President Trump sign… [+1677 chars]",2,Tech
Oppo K15 launches July 24 in China with active cooling fan and 8000mAh battery,Bùi Giang,Notebookcheck.net,2026-07-17T11:03:00Z,"Oppo’s K15 launches in China on July 24 with an 8,000mAh battery, 80W charging, triple 50MP cameras and a built-in cooling fan. Its modest Dimensity 7360 chipset makes the fan’s practical value questionable, suggesting Oppo prioritized premium styling and mar…",https://www.notebookcheck.net/Oppo-K15-launches-July-24-in-China-with-active-cooling-fan-and-8000mAh-battery.1345269.0.html,"Oppo confirms the standard K15 will launch in China on July 24, following the K15 Pro and K15 Pro+ that debuted in April. According to Digital Chat Station, the base model uses a 6.59-inch 1.5K LTPS … [+1354 chars]",3,Tech
China Just Built a Mirrored Heart at the Lake Called ‘The Last Tear,Ida Torres,Yanko Design,2026-07-17T11:00:24Z,"China Just Built a Mirrored Heart at the Lake Called ‘The Last TearSayram Lake sits in a remote corner of Xinjiang, China, at an altitude that makes the air feel thinner and the colors feel brighter. It’s...",https://www.yankodesign.com/2026/07/17/china-just-built-a-mirrored-heart-at-the-lake-called-the-last-tear/,"Sayram Lake sits in a remote corner of Xinjiang, China, at an altitude that makes the air feel thinner and the colors feel brighter. It’s the kind of place that deserves a nickname, and it has a good… [+3812 chars]",4,Tech
MoonFox Alternative Data Expands Offline Foot Traffic Coverage to Leading China and Global Stocks,MoonFox Data,GlobeNewswire,2026-07-17T11:00:00Z,"MoonFox expands offline foot traffic data to 300+ top China A-shares and global consumer stocks, empowering investors with real-world China insights....",https://www.globenewswire.com/news-release/2026/07/17/3329019/0/en/MoonFox-Alternative-Data-Expands-Offline-Foot-Traffic-Coverage-to-Leading-China-and-Global-Stocks.html,"SHENZHEN, China, July 17, 2026 (GLOBE NEWSWIRE) -- MoonFox Data, Chinas leading alternative data provider, is proud to announce a major expansion of its offline (foot traffic) data coverage, now trac… [+4232 chars]",3,Other
Click Holdings Limited (CLIK) Surpasses 6 Million Senior Care Hours; Unveils Global ESG Framework to Power International and Mainland China Expansion,Click Holdings Limited,GlobeNewswire,2026-07-17T11:00:00Z,"Hong Kong, July 17, 2026 (GLOBE NEWSWIRE) -- Click Holdings Limited (“Click Holdings” or “Click” or “we” or “us”, NASDAQ: CLIK) and its subsidiaries (collectively, the “Company”), a leader in human resources (“HR”) and senior care solutions in Hong Kong, toda…",https://www.globenewswire.com/news-release/2026/07/17/3329018/0/en/Click-Holdings-Limited-CLIK-Surpasses-6-Million-Senior-Care-Hours-Unveils-Global-ESG-Framework-to-Power-International-and-Mainland-China-Expansion.html,"Hong Kong, July 17, 2026 (GLOBE NEWSWIRE) -- Click Holdings Limited (Click Holdings or Click or we or us, NASDAQ: CLIK) and its subsidiaries (collectively, the Company), a leader in human resources (… [+4607 chars]",3,"Tech, Business"
"China orders companies to discontinue AI companion features, reshaping the tech landscape",Editorial Team,Crypto Briefing,2026-07-17T10:59:11Z,"China's new regulations ban AI companion features for minors, forcing ByteDance, Alibaba, Tencent, and NetEase to disable emotionally interactive services.
The post China orders companies to discontinue AI companion features, reshaping the tech landscape appe…",https://cryptobriefing.com/china-bans-ai-companion-features/,"Beijing's new regulations ban emotionally interactive AI services for minors, forcing ByteDance, Alibaba, Tencent, and NetEase to rapidly strip features from their platforms. China’s Cyberspace Admin… [+2232 chars]",4,Tech
‘Entirely Fabricated’: Beijing Dismisses Trump’s Election Interference Claims,"Siladitya Ray, Forbes Staff, 
 Siladitya Ray, Forbes Staff
 https://www.forbes.com/sites/siladityaray/",Forbes,2026-07-17T10:56:18Z,"In his prime-time address on Thursday evening, Trump accused China of carrying out what he claimed was the “largest compromise of election data in history.”",https://www.forbes.com/sites/siladityaray/2026/07/17/entirely-fabricated-beijing-dismisses-trumps-election-interference-claims/,"Officials in Beijing on Friday vehemently pushed back against President Donald Trumps allegations of Chinese interference in U.S. elections, labeling them as fabrications and slander, amid concerns t… [+2841 chars]",4,Tech
"Air China, Shenzhen Airlines order 55 Airbus jets",Cnbc,CNBC,2026-07-17T10:39:38Z,The order comes as Chinese carriers continue to rebuild and expand their fleets following the Covid-19 pandemic.,https://www.cnbc.com/2026/07/17/air-china-shenzhen-airlines-order-55-airbus-jets.html,"Air China and its unit Shenzhen Airlines will buy 55 Airbus aircraft for a total list price of $12.4 billion, as China's flag carrier moves to expand capacity and modernize its fleet with more fuel-e… [+1232 chars]",3,Tech
3TREES Sets Guinness World Record: The Largest Coatings Showroom -- Grand Opening of 3TREES Quality Homes Technology Experience Center,,PRNewswire,2026-07-17T10:33:00Z,"PUTIAN, China, July 17, 2026 /PRNewswire/ -- On July 16, SKSHU Paint Co., Ltd. (""3TREES"") held a grand opening ceremony for its Quality Homes Technology Experience Center at the corporate headquarters in Putian, Fujian, officially winning the Guinness World R…",https://www.prnewswire.com/news-releases/3trees-sets-guinness-world-record-the-largest-coatings-showroom--grand-opening-of-3trees-quality-homes-technology-experience-center-302828469.html,"PUTIAN, China, July 17, 2026 /PRNewswire/ -- On July 16, SKSHU Paint Co., Ltd. (""3TREES"") held a grand opening ceremony for its Quality Homes Technology Experience Center at the corporate headquarter… [+2188 chars]",1,Tech
"Xi Jinping urges inclusive AI development at China’s top tech summit, and crypto was nowhere on the agenda",Editorial Team,Crypto Briefing,2026-07-17T10:30:36Z,"Xi Jinping attended the World Artificial Intelligence Conference in Shanghai, pushing inclusive AI development. Here's what it means for crypto investors.
The post Xi Jinping urges inclusive AI development at China’s top tech summit, and crypto was nowhere on…",https://cryptobriefing.com/xi-jinping-ai-summit-crypto-implications/,"China's president made his first in-person appearance at the World Artificial Intelligence Conference since its 2018 launch, pushing international cooperation while the digital asset industry watches… [+1960 chars]",5,"Tech, Geopolitics"
Xi Jinping of China Pitches ‘Openness’ in Push to Shape the Path of A.I,nytimes.com,Biztoc.com,2026-07-17T10:28:28Z,Xi Jinping said that the development of artificial intelligence systems should be a “symphony of global collaboration.”,https://biztoc.com/x/12c83b0eb21d0681,"Xi Jinping said that the development of artificial intelligence systems should be a symphony of global collaboration.
This story appeared on nytimes.com, 2026-07-17 10:21:08.",5,Tech
China's secret blueprint to bomb US warships: Satellite images show huge replicas of American destroyer and carrier built for missile practice in remote desert,Imogen Garfinkel,Dailymail.com,2026-07-17T10:15:33Z,"Deep in the remote Taklamakan desert, China has been secretly developing a blueprint to obliterate US warships.",https://www.dailymail.com/news/article-15981747/Chinas-secret-blueprint-bomb-US-warships-Satellite-images-huge-replicas-American-destroyer-carrier-built-missile-practice-remote-desert.html,"Deep in the remote Taklamakan Desert, China has been secretly developing a blueprint to obliterate US warships.
New satellite images show that Xi Jinpings forces are constructing exact replicas of A… [+10044 chars]",4,Tech
Xi Unveils Global South AI Initiative Amid U.S. Rivalry,tippinsights.com,Biztoc.com,2026-07-17T10:13:32Z,"Chinese President Xi Jinping called for a more open and inclusive approach to artificial intelligence, warning against creating ""new historical injustices"" as AI adoption accelerates worldwide, reported by the South China Morning Post.
Speaking at the 2026 Wo…",https://biztoc.com/x/524b960033d5042c,"Chinese President Xi Jinping called for a more open and inclusive approach to artificial intelligence, warning against creating ""new historical injustices"" as AI adoption accelerates worldwide, repor… [+148 chars]",4,Tech
HOT SALE Cheap full-service flights from Stockholm to many Asian destinations from €302,Giovanni,Fly4free.com,2026-07-17T10:12:19Z,Air China is offering discounted flights to numerous destinations starting at €302 for a round trip with checked bags included!,https://www.fly4free.com/flight-deals/europe/flights-from-stockholm-to-asia-e302/,"Air China is offering discounted flights to numerous destinations starting at 302 for a round trip with checked bags included!Vietnam
 Vietnam offers an incredible mix of limestone bays, rice terrac… [+3365 chars]",1,Tech
Moonshot AI’s Kimi K3 sends rival stocks tumbling as China’s AI race heats up,Editorial Team,Crypto Briefing,2026-07-17T10:11:21Z,"Moonshot AI's Kimi K3 model rattled global markets, sending rival AI stocks down as much as 27% while raising questions about AI sector valuations.
The post Moonshot AI’s Kimi K3 sends rival stocks tumbling as China’s AI race heats up appeared first on Crypto…",https://cryptobriefing.com/moonshot-kimi-k3-ai-semiconductor-stocks-decline/,"Beijing-based Moonshot AI unveiled a model that benchmarks say rivals GPT-5.6 and Claude Fable 5, rattling global AI and semiconductor markets. China just dropped another model that is making investo… [+2056 chars]",4,Tech
3TREES Sets Guinness World Record: The Largest Coatings Showroom -- Grand Opening of 3TREES Quality Homes Technology Experience Center,,PRNewswire,2026-07-17T10:10:00Z,"PUTIAN, China, July 17, 2026 /PRNewswire/ -- On July 16, SKSHU Paint Co., Ltd. (""3TREES"") held a grand opening ceremony for its Quality Homes Technology Experience Center at the corporate headquarters in Putian, Fujian, officially winning the Guinness World R…",https://www.prnewswire.com/news-releases/3trees-sets-guinness-world-record-the-largest-coatings-showroom--grand-opening-of-3trees-quality-homes-technology-experience-center-302828463.html,"PUTIAN, China, July 17, 2026 /PRNewswire/ -- On July 16, SKSHU Paint Co., Ltd. (""3TREES"") held a grand opening ceremony for its Quality Homes Technology Experience Center at the corporate headquarter… [+2054 chars]",1,Tech
"China ramps up diplomatic pressure on Taiwan, PNG closes office",Estefano Gomez,Crypto Briefing,2026-07-17T10:08:55Z,"China increases diplomatic pressure on Taiwan as PNG closes its office. Invasion by December 31, 2027 at 10.5% YES.
The post China ramps up diplomatic pressure on Taiwan, PNG closes office appeared first on Crypto Briefing.",https://cryptobriefing.com/china-ramps-up-diplomatic-pressure-on-taiwan-png-closes-office/,"China is exerting diplomatic pressure on Taiwan across multiple fronts, according to Taiwan’s Vice President Hsiao Bi-khim. This statement follows Papua New Guinea’s decision to close Taiwan’s repres… [+1410 chars]",3,Tech
"As Chinese economy slows, experts say there will be ‘problems for Beijing’",Megha Bahree,Al Jazeera English,2026-07-17T10:06:25Z,"While the 'export engine is running very hot', jobs are lagging, squeezing spending in China.",https://www.aljazeera.com/economy/2026/7/17/as-chinese-economy-slows-experts-say-there-will-be-problems-for-beijing,"Chinas economy slowed sharply in the quarter ending June, revealing vulnerabilities in the countrys growth model, which is predominantly propelled by exports with little appetite for domestic consump… [+4471 chars]",5,"Tech, Economy"
